Avg Sale To List	Avg Sale To List Mom	Avg Sale To List Yoy	City	Homes Sold	Homes Sold Mom	Homes Sold Yoy	Inventory	Inventory Mom	Inventory Yoy	Median Dom	Median Dom Mom	Median Dom Yoy	Median List Ppsf	Median List Ppsf Mom	Median List Ppsf Yoy	Median List Price	Median List Price Mom	Median List Price Yoy	Median Ppsf	Median Ppsf Mom	Median Ppsf Yoy	Median Sale Price	Median Sale Price Mom	Median Sale Price Yoy	months_of_supply	months_of_supply_mom	months_of_supply_yoy	New Listings	New Listings Mom	New Listings Yoy	Period Begin	Period Duration	Period End	Price Drops	Price Drops Mom	Price Drops Yoy	Property Type	Region	Region Type	Sold Above List	Sold Above List Mom	Sold Above List Yoy	State	State Code	Table Id
0.973773232	-0.40%	1.70%	San Diego	7	75.00%	16.70%	12	-20.00%	-42.90%	28	-0.5	-129	503.9439089	-0.030674847	0.062601728	1075000	0	0.08040201	425.9811227	-0.080007667	0.000355575	$840K	-9.90%	3.10%				17	30.80%	0.00%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Sunset Cliffs"	neighborhood	0.142857143	-0.107142857	-0.023809524	California	CA	2655
0.982879585	-0.50%	1.80%	San Diego	21	23.50%	-4.50%	20	-13.00%	-41.20%	49	4	16.5	339.7905759	0.180359884	0.101510361	454500	0.022497188	0.101951752	272.0867209	0.035666263	-0.067283171	$325K	-13.30%	-17.50%				30	15.40%	-16.70%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Talmadge"	neighborhood	0.238095238	-0.056022409	0.101731602	California	CA	2685
0.97041829	0.30%	0.00%	San Diego	634	3.60%	16.50%	499	-14.00%	-44.90%	69	-3	9	243.5475974	0.020725357	-0.023496075	398888.5	0.023053347	0.023053347	225.0372578	0.009316041	-0.067869102	$350K	4.00%	-5.70%				810	14.70%	-10.20%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Northeastern San Diego"	neighborhood	0.151419558	0.023968578	-0.02505103	California	CA	92298
1.013214296	0.20%	5.10%	San Diego	16	-5.90%	14.30%	7	0.00%	-50.00%	86.5	59.5	51	370.5463183	0.218539913	-0.03754203	435876	0.057951456	0.002013793	269.0191388	-0.166625494	-0.283247916	$321K	-20.90%	-14.00%				21	50.00%	61.50%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Adams North"	neighborhood	0.375	0.139705882	0.303571429	California	CA	108937
0.953593619	0.70%	-2.60%	San Diego	30	11.10%	3.40%	24	-14.30%	-40.00%	55	0	0	136.5808105	0.014957977	0.083372478	185000	-0.012016021	0.057747284	133.5989359	-0.035784232	-0.099304827	$186K	1.80%	-0.70%				41	7.90%	2.50%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Mountain View"	neighborhood	0.266666667	0.007407407	-0.07816092	California	CA	109268
0.998403218	1.00%	4.60%	San Diego	3	-25.00%	-40.00%	9	28.60%	-18.20%	27	-22	-44	175.859038	0.135184753	-0.135441601	281500	0.414572864	0.411062934	127.9239766	-0.173076677	-0.275097466	$212K	-1.90%	21.10%				10	11.10%	11.10%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Stockton"	neighborhood	0.666666667	0.166666667	0.266666667	California	CA	109269
0.969501956	0.20%	-0.40%	San Diego	349	-2.80%	20.80%	302	-1.00%	-41.40%	52	-13	-9	227.537923	0.006830895	-0.024712404	355000	0.017191977	0.04719764	215.5635063	0.012286225	-0.037575234	$310K	1.60%	-2.40%				483	20.40%	-4.00%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Eastern San Diego"	neighborhood	0.217765043	0.008851394	-0.027909698	California	CA	109273
0.967365921	0.50%	3.50%	San Diego	16	0.00%	-11.10%	40	0.00%	-7.00%	46	7.5	-62	531.3999393	0.153795222	0.168133051	1150000	0.004805592	0.237890205	376.3556609	0.064778413	-0.126219266	"$1,019K"	7.20%	10.10%				37	15.60%	27.60%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Del Mar Heights"	neighborhood	0.125	0	-0.041666667	California	CA	109849
0.980470339	0.60%	-3.50%	San Diego	28	27.30%	21.70%	17	-10.50%	-46.90%	35	0	-7	155.8603491	0	0.101309259	255000	0.0625	0.324678765	141.1770604	-0.04750372	-0.038910012	$235K	-1.30%	4.40%				33	0.00%	-2.90%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Nestor"	neighborhood	0.285714286	0.012987013	-0.192546584	California	CA	109850
0.974384015	-0.40%	-0.40%	San Diego	25	-10.70%	38.90%	14	-22.20%	-70.20%	51	1.5	-4	193.6236392	-0.001097626	-0.095967689	217000	-0.095833333	-0.095644926	158.7301587	0	-0.21156698	$203K	-2.90%	-0.70%				30	11.10%	-11.80%	1/1/12	90	3/31/12				All Residential	"San Diego, CA - Redwood Village-Rolando Park"	neighborhood	0.2	-0.085714286	-0.188888889	California	CA	110390
